number	link	level	title	classitication	solved	avg_attempt
9713	https://www.acmicpc.net/problem/9713	Bronze III	Sum of Odd Sequence	수학	481	1.57
10103	https://www.acmicpc.net/problem/10103	Bronze III	주사위 게임	수학	1950	1.13
10178	https://www.acmicpc.net/problem/10178	Bronze III	할로윈의 사탕	수학	1563	1.29
10180	https://www.acmicpc.net/problem/10180	Bronze III	Ship Selection	수학	125	1.06
10214	https://www.acmicpc.net/problem/10214	Bronze III	Baseball	수학	2273	1.59
10250	https://www.acmicpc.net/problem/10250	Bronze III	ACM 호텔	수학	14031	2.85
10262	https://www.acmicpc.net/problem/10262	Bronze III	주사위 게임	수학	146	1.34
10270	https://www.acmicpc.net/problem/10270	Bronze III	Algebraic Teamwork	수학	52	1.06
10395	https://www.acmicpc.net/problem/10395	Bronze III	Automated Checking Machine	수학	119	1.34
10409	https://www.acmicpc.net/problem/10409	Bronze III	서버	수학	1266	1.9
10419	https://www.acmicpc.net/problem/10419	Bronze III	지각	수학	859	1.36
10474	https://www.acmicpc.net/problem/10474	Bronze III	분수좋아해?	수학	1159	1.3
10539	https://www.acmicpc.net/problem/10539	Bronze III	수빈이와 수열	수학	1619	1.26
10569	https://www.acmicpc.net/problem/10569	Bronze III	다면체	수학	2137	1.14
10698	https://www.acmicpc.net/problem/10698	Bronze III	Ahmed Aly	수학	326	1.25
10818	https://www.acmicpc.net/problem/10818	Bronze III	"최소, 최대"	수학	25453	2.25
10833	https://www.acmicpc.net/problem/10833	Bronze III	사과	수학	3743	1.2
10834	https://www.acmicpc.net/problem/10834	Bronze III	벨트	수학	886	2.25
10871	https://www.acmicpc.net/problem/10871	Bronze III	X보다 작은 수	수학	40378	1.77
10872	https://www.acmicpc.net/problem/10872	Bronze III	팩토리얼	수학	19973	2.06
10886	https://www.acmicpc.net/problem/10886	Bronze III	0 = not cute / 1 = cute	수학	5425	1.48
10950	https://www.acmicpc.net/problem/10950	Bronze III	A+B - 3	수학	35448	1.69
10951	https://www.acmicpc.net/problem/10951	Bronze III	A+B - 4	수학	27212	2.75
10952	https://www.acmicpc.net/problem/10952	Bronze III	A+B - 5	수학	30625	1.85
10984	https://www.acmicpc.net/problem/10984	Bronze III	내 학점을 구해줘	수학	2463	1.48
11006	https://www.acmicpc.net/problem/11006	Bronze III	남욱이의 닭장	수학	1553	1.27
11021	https://www.acmicpc.net/problem/11021	Bronze III	A+B - 7	수학	28659	1.86
11022	https://www.acmicpc.net/problem/11022	Bronze III	A+B - 8	수학	27924	1.39
11023	https://www.acmicpc.net/problem/11023	Bronze III	더하기 3	수학	1331	1.32
11109	https://www.acmicpc.net/problem/11109	Bronze III	괴짜 교수	수학	423	1.27
11134	https://www.acmicpc.net/problem/11134	Bronze III	쿠키애호가	수학	598	1.27
11312	https://www.acmicpc.net/problem/11312	Bronze III	삼각 무늬 - 2	수학	316	1.7
11320	https://www.acmicpc.net/problem/11320	Bronze III	삼각 무늬 - 1	수학	514	1.32
11517	https://www.acmicpc.net/problem/11517	Bronze III	Positive Con Sequences	수학	29	3.41
11772	https://www.acmicpc.net/problem/11772	Bronze III	POT	수학	486	1.17
11921	https://www.acmicpc.net/problem/11921	Bronze III	0.1	수학	479	4.88
11966	https://www.acmicpc.net/problem/11966	Bronze III	2의 제곱인가?	수학	1723	1.61
11970	https://www.acmicpc.net/problem/11970	Bronze III	Fence Painting	수학	351	2.06
12756	https://www.acmicpc.net/problem/12756	Bronze III	고급 레스토랑	수학	683	1.74
12790	https://www.acmicpc.net/problem/12790	Bronze III	Mini Fantasy War	수학	2308	1.62
12833	https://www.acmicpc.net/problem/12833	Bronze III	XORXORXOR	수학	786	1.25
13073	https://www.acmicpc.net/problem/13073	Bronze III	Sums	수학	150	1.16
13129	https://www.acmicpc.net/problem/13129	Bronze III	Disposable Cup	수학	176	1.24
13221	https://www.acmicpc.net/problem/13221	Bronze III	Manhattan	수학	118	1.26
13225	https://www.acmicpc.net/problem/13225	Bronze III	Divisors	수학	290	1.12
13228	https://www.acmicpc.net/problem/13228	Bronze III	The REAL Manhattan distance	수학	131	1.07
13236	https://www.acmicpc.net/problem/13236	Bronze III	Collatz Conjecture	수학	248	1.24
13311	https://www.acmicpc.net/problem/13311	Bronze III	행운의 편지	수학	547	1.78
13416	https://www.acmicpc.net/problem/13416	Bronze III	주식 투자	수학	602	1.37
13484	https://www.acmicpc.net/problem/13484	Bronze III	Tarifa	수학	225	1.12
13777	https://www.acmicpc.net/problem/13777	Bronze III	Hunt The Rabbit	수학	40	1.08
14215	https://www.acmicpc.net/problem/14215	Bronze III	세 막대	수학	180	1.19
14489	https://www.acmicpc.net/problem/14489	Bronze III	치킨 두 마리 (...)	수학	1137	1.64
14568	https://www.acmicpc.net/problem/14568	Bronze III	2017 연세대학교 프로그래밍 경시대회	수학	633	2.04
14579	https://www.acmicpc.net/problem/14579	Bronze III	덧셈과 곱셈	수학	348	1.55
14614	https://www.acmicpc.net/problem/14614	Bronze III	Calculate!	수학	453	2.05
14625	https://www.acmicpc.net/problem/14625	Bronze III	냉동식품	수학	230	3.23
14761	https://www.acmicpc.net/problem/14761	Bronze III	FizzBuzz	수학	136	1.42
14782	https://www.acmicpc.net/problem/14782	Bronze III	"Bedtime Reading, I"	수학	160	1.06
14913	https://www.acmicpc.net/problem/14913	Bronze III	등차수열에서 항 번호 찾기	수학	326	2.61
15036	https://www.acmicpc.net/problem/15036	Bronze III	Just A Minim	수학	36	1.22
15279	https://www.acmicpc.net/problem/15279	Bronze III	Heart Rate	수학	64	1.05
15340	https://www.acmicpc.net/problem/15340	Bronze III	Sim Card	수학	116	1.06
15633	https://www.acmicpc.net/problem/15633	Bronze III	Fan Death	수학	695	1.86
15667	https://www.acmicpc.net/problem/15667	Bronze III	2018 연세대학교 프로그래밍 경진대회	수학	1014	1.55
15734	https://www.acmicpc.net/problem/15734	Bronze III	명장 남정훈	수학	407	1.68
15780	https://www.acmicpc.net/problem/15780	Bronze III	멀티탭 충분하니?	수학	916	1.77
15781	https://www.acmicpc.net/problem/15781	Bronze III	헬멧과 조끼	수학	916	1.22
15792	https://www.acmicpc.net/problem/15792	Bronze III	A/B - 2	수학	568	1.35
15818	https://www.acmicpc.net/problem/15818	Bronze III	오버플로우와 모듈러	수학	335	1.35
15858	https://www.acmicpc.net/problem/15858	Bronze III	Simple Arithmetic	수학	107	1.09
15923	https://www.acmicpc.net/problem/15923	Bronze III	욱제는 건축왕이야!!	수학	236	1.13
15953	https://www.acmicpc.net/problem/15953	Bronze III	상금 헌터	수학	3519	2.73
15995	https://www.acmicpc.net/problem/15995	Bronze III	잉여역수 구하기	수학	193	1.27
16283	https://www.acmicpc.net/problem/16283	Bronze III	Farm	수학	568	2.43
16479	https://www.acmicpc.net/problem/16479	Bronze III	컵라면 측정하기	수학	352	1.07
16483	https://www.acmicpc.net/problem/16483	Bronze III	접시 안의 원	수학	341	1.2
16503	https://www.acmicpc.net/problem/16503	Bronze III	괄호 없는 사칙연산	수학	380	1.58
16504	https://www.acmicpc.net/problem/16504	Bronze III	종이접기	수학	449	1.92
16625	https://www.acmicpc.net/problem/16625	Bronze III	Das Blinkenlights	수학	58	1.41
16673	https://www.acmicpc.net/problem/16673	Bronze III	고려대학교에는 공식 와인이 있다	수학	1348	1.24
17174	https://www.acmicpc.net/problem/17174	Bronze III	전체 계산 횟수	수학	495	1.31
17284	https://www.acmicpc.net/problem/17284	Bronze III	Vending Machine	수학	340	1.36
17356	https://www.acmicpc.net/problem/17356	Bronze III	욱 제	수학	306	1.12
17450	https://www.acmicpc.net/problem/17450	Bronze III	과자 사기	수학	292	2.03
17783	https://www.acmicpc.net/problem/17783	Bronze III	Breaking Branches	수학	65	1.08
17944	https://www.acmicpc.net/problem/17944	Bronze III	퐁당퐁당 1	수학	164	1.6
17945	https://www.acmicpc.net/problem/17945	Bronze III	통학의 신	수학	163	1.27
18247	https://www.acmicpc.net/problem/18247	Bronze III	겨울왕국 티켓 예매	수학	604	1.79
18398	https://www.acmicpc.net/problem/18398	Bronze III	HOMWRK	수학	47	1.11
19572	https://www.acmicpc.net/problem/19572	Bronze III	가뭄(Small)	수학	204	1.78
1075	https://www.acmicpc.net/problem/1075	Bronze II	나누기	수학	3734	1.77
1193	https://www.acmicpc.net/problem/1193	Bronze II	분수찾기	수학	15186	1.88
1225	https://www.acmicpc.net/problem/1225	Bronze II	이상한 곱셈	수학	1761	2.63
